n,Rare trajectory?,Return,Time,Positions
0,True,-3.6583042655549267,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, -2, -3, -4, -3, -2, -1, 0, -1, -2, -1, -2, -1, 0, -1, 0, 1, 0)"
1,True,-4.577342932306548,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, 0, -1, -2, -3, -2, -1, 0, -1, -2, -1, -2, -1, 0, -1, 0, -1, 0)"
2,True,-3.8543695907497852,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 0, -1, 0, -1, 0, 1, 0, -1, -2, -1, -2, -1, -2, -1, -2, -1, 0)"
3,True,-3.323791541921863,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, 1, 0, -1, -2, -1, 0, -1, 0, 1, 2, 1, 2, 1, 0, 1, 0)"
4,False,-17.257204778415794,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 0, -1, -2, -1, 0, 1, 0, -1, 0, 1, 2, 3, 4, 5, 4, 3, 4)"
5,True,-4.225727832624251,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, -1, 0, -1, 0, 1, 0, -1, -2, -3, -2, -1, -2, -1, 0, -1, 0)"
6,True,-1.650725988673197,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, -2, -1, -2, -1, -2, -1, 0, -1, 0, -1, -2, -3, -4, -3, -2, -1, 0)"
7,True,-0.15039879376640763,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 3, 2, 1, 0, 1, 0, -1, 0, -1, 0, -1, -2, -1, 0, 1, 0, 1, 0)"
8,True,-1.7496759465284586,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, 0, -1, 0, 1, 0, -1, -2, -3, -2, -1, 0, 1, 2, 1, 0)"
9,True,-3.3010362041968047,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, 0, -1, -2, -1, 0, -1, 0, 1, 0, 1, 2, 1, 2, 1, 0)"
10,True,-3.193383761466169,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 3, 4, 3, 2, 3, 4, 3, 2, 1, 2, 1, 0, 1, 2, 3, 2, 1, 0)"
11,True,-6.021086345587332,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 2, 3, 2, 3, 2, 1, 0, -1, 0, -1, -2, -1, -2, -1, 0, -1, 0)"
12,False,-14.60222317249935,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, 1, 0, -1, -2, -1, 0, 1, 2, 3, 2, 1, 2, 1, 2, 3, 4)"
13,False,-6.28107388834146,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 3, 4, 3, 2, 3, 2, 3, 2, 1, 2, 1, 2, 1, 2, 1, 2, 3, 2)"
14,False,-0.7976785507078303,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 3, 2, 3, 2, 1, 2, 1, 2, 1, 0, -1, -2, -3, -2, -3, -4, -3, -2)"
15,True,-2.5598195316786696,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, 0, -1, -2, -1, -2, -3, -2, -3, -2, -3, -2, -1, -2, -1, 0, -1, 0)"
16,True,-2.405036668557324,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -3, -2, -3, -4, -5, -4, -3, -2, -3, -2, -1, 0, 1, 2, 1, 2, 1, 0)"
17,True,-2.772343743036245,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, -2, -1, 0, -1, -2, -1, 0, -1, 0, 1, 2, 1, 2, 3, 2, 1, 0)"
