t,x,probability of action_0,probability of action_1
0,0,0.7148476,0.28515238
1,-1,0.4085519,0.591448
1,1,0.121041745,0.8789583
2,-2,0.23618436,0.7638156
2,0,0.40447536,0.59552467
2,2,0.61020535,0.3897946
3,-3,0.21736261,0.78263736
3,-1,0.41677326,0.5832268
3,1,0.7255119,0.2744881
3,3,0.499586,0.500414
4,-4,0.20317781,0.7968222
4,-2,0.31559867,0.6844013
4,0,0.69151825,0.30848172
4,2,0.30498874,0.69501126
4,4,0.84197634,0.15802363
5,-5,0.14448337,0.8555166
5,-3,0.537412,0.46258795
5,-1,0.64456314,0.35543683
5,1,0.617166,0.382834
5,3,0.8537624,0.14623766
5,5,0.32376102,0.676239
6,-6,0.6884764,0.31152365
6,-4,0.49400744,0.50599253
6,-2,0.24685158,0.75314844
6,0,0.51152855,0.4884715
6,2,0.10320409,0.89679587
6,4,0.3918806,0.60811937
6,6,0.9337753,0.066224635
7,-7,0.08517601,0.91482395
7,-5,0.07302169,0.92697835
7,-3,0.118300356,0.88169956
7,-1,0.33508858,0.66491145
7,1,0.66426605,0.335734
7,3,0.8232131,0.17678693
7,5,0.89253926,0.10746068
7,7,0.89350086,0.1064991
8,-8,0.4798132,0.52018684
8,-6,0.114222944,0.88577706
8,-4,0.08454581,0.9154542
8,-2,0.29484138,0.70515865
8,0,0.36490095,0.63509905
8,2,0.77799946,0.22200054
8,4,0.77184474,0.22815518
8,6,0.858797,0.14120303
8,8,0.47319505,0.526805
9,-9,0.7059541,0.29404595
9,-7,0.39400128,0.60599875
9,-5,0.17845237,0.8215477
9,-3,0.23916943,0.76083064
9,-1,0.17923191,0.8207681
9,1,0.7623673,0.23763268
9,3,0.73421735,0.26578265
9,5,0.877565,0.12243501
9,7,0.16773172,0.8322683
9,9,0.78182256,0.21817745
10,-10,0.09608567,0.90391433
10,-8,0.41232657,0.5876734
10,-6,0.30284303,0.69715697
10,-4,0.34731045,0.6526895
10,-2,0.1912169,0.8087831
10,0,0.7705532,0.22944681
10,2,0.7460732,0.25392687
10,4,0.6925205,0.30747953
10,6,0.68945354,0.3105465
10,8,0.90075856,0.09924141
10,10,0.2171898,0.7828102
11,-11,0.07867914,0.92132086
11,-9,0.07907636,0.92092365
11,-7,0.17378667,0.8262133
11,-5,0.66037905,0.33962098
11,-3,0.2345184,0.7654816
11,-1,0.4802931,0.5197069
11,1,0.6336322,0.3663679
11,3,0.14091648,0.85908353
11,5,0.77433765,0.22566235
11,7,0.92810947,0.07189048
11,9,0.9140081,0.085991934
11,11,0.5494549,0.45054507
12,-12,0.09160993,0.90839005
12,-10,0.16620703,0.833793
12,-8,0.16948713,0.8305129
12,-6,0.13014643,0.8698536
12,-4,0.10818861,0.8918114
12,-2,0.1685008,0.8314992
12,0,0.51597685,0.48402312
12,2,0.82033885,0.17966108
12,4,0.8896738,0.11032617
12,6,0.9037547,0.0962453
12,8,0.8664517,0.13354836
12,10,0.7640373,0.23596267
12,12,0.46225983,0.5377401
13,-13,0.18511295,0.81488705
13,-11,0.17035998,0.82964003
13,-9,0.22359328,0.7764067
13,-7,0.54911697,0.4508831
13,-5,0.0812392,0.91876084
13,-3,0.08865112,0.9113489
13,-1,0.48571235,0.5142876
13,1,0.5186743,0.48132563
13,3,0.88273966,0.1172603
13,5,0.8485182,0.1514818
13,7,0.89466506,0.10533489
13,9,0.7077368,0.29226324
13,11,0.878215,0.12178499
13,13,0.41148147,0.58851856
14,-14,0.28053147,0.71946853
14,-12,0.58813125,0.41186872
14,-10,0.93104786,0.06895211
14,-8,0.58099073,0.41900927
14,-6,0.26103586,0.7389641
14,-4,0.067744665,0.9322553
14,-2,0.113822535,0.8861774
14,0,0.50113684,0.49886316
14,2,0.7493082,0.2506918
14,4,0.87498236,0.12501764
14,6,0.8001262,0.19987382
14,8,0.1042465,0.8957535
14,10,0.45421994,0.54578006
14,12,0.076607846,0.9233922
14,14,0.17896089,0.82103914
15,-15,0.7262708,0.27372923
15,-13,0.17716391,0.82283604
15,-11,0.6583802,0.3416198
15,-9,0.10604354,0.8939565
15,-7,0.7805446,0.21945542
15,-5,0.104010604,0.89598936
15,-3,0.22875468,0.77124524
15,-1,0.65794265,0.34205735
15,1,0.2523808,0.7476193
15,3,0.897403,0.10259704
15,5,0.8227612,0.17723882
15,7,0.68334377,0.31665626
15,9,0.79758286,0.20241712
15,11,0.65629417,0.34370574
15,13,0.122456886,0.8775431
15,15,0.31808597,0.68191403
16,-16,0.6043892,0.39561075
16,-14,0.112000935,0.887999
16,-12,0.30816296,0.691837
16,-10,0.08977075,0.9102292
16,-8,0.102362484,0.8976375
16,-6,0.1973978,0.80260223
16,-4,0.45337456,0.5466254
16,-2,0.17718245,0.82281756
16,0,0.80434513,0.19565482
16,2,0.7039984,0.29600167
16,4,0.45459595,0.545404
16,6,0.89741,0.10259004
16,8,0.9107557,0.08924432
16,10,0.9244448,0.07555524
16,12,0.20502914,0.79497087
16,14,0.07820924,0.9217907
16,16,0.0834376,0.9165624
17,-17,0.1306355,0.86936456
17,-15,0.10130722,0.8986928
17,-13,0.067912176,0.93208784
17,-11,0.20025387,0.79974616
17,-9,0.36693168,0.6330684
17,-7,0.33735985,0.66264015
17,-5,0.21223493,0.7877651
17,-3,0.13191861,0.8680814
17,-1,0.2089241,0.7910759
17,1,0.66175205,0.33824793
17,3,0.8808994,0.1191006
17,5,0.90412575,0.09587429
17,7,0.8669454,0.13305458
17,9,0.76827395,0.23172602
17,11,0.6333138,0.36668628
17,13,0.23242424,0.76757574
17,15,0.09358517,0.9064148
17,17,0.111320294,0.88867974
18,-18,0.9066803,0.09331968
18,-16,0.83641213,0.16358788
18,-14,0.07696654,0.9230334
18,-12,0.25824827,0.74175173
18,-10,0.0719645,0.92803544
18,-8,0.44170183,0.55829823
18,-6,0.39835474,0.6016453
18,-4,0.071201906,0.9287981
18,-2,0.2826496,0.7173504
18,0,0.6160473,0.38395268
18,2,0.7927641,0.20723595
18,4,0.90787154,0.092128456
18,6,0.8131265,0.1868735
18,8,0.9243587,0.075641304
18,10,0.7991085,0.20089154
18,12,0.66744757,0.33255246
18,14,0.24534011,0.75465995
18,16,0.22025381,0.77974623
18,18,0.6925132,0.30748674
19,-19,0.22600947,0.7739905
19,-17,0.12508202,0.874918
19,-15,0.09665948,0.9033405
19,-13,0.4433361,0.5566639
19,-11,0.7235081,0.2764919
19,-9,0.93216294,0.067837074
19,-7,0.22110203,0.77889794
19,-5,0.15984368,0.8401563
19,-3,0.07411966,0.9258803
19,-1,0.0674371,0.9325628
19,1,0.8209373,0.17906268
19,3,0.7397448,0.2602552
19,5,0.857571,0.14242895
19,7,0.4538318,0.5461682
19,9,0.12992193,0.8700781
19,11,0.1624037,0.8375963
19,13,0.12375996,0.8762401
19,15,0.5060754,0.49392465
19,17,0.8308233,0.16917668
19,19,0.34973755,0.6502625
